product_id,product_name,category,unit_price,quantity_in_stock,reorder_level,supplier,last_restocked,warehouse_location
PROD-00293,Product Toys 292,Books,305.87,686.0,87.0,Supplier A,2022-12-13,Warehouse A
PROD-00294,Product Clothing 293,Electronics,34.78,,43.0,Supplier B,2022-06-25,Warehouse A
PROD-00295,Product Books 294,Sports,422.95,416.0,57.0,,2022-07-07,
PROD-00296,Product Sports 295,Clothing,108.5,428.0,76.0,Supplier B,2022-01-30,Warehouse C
PROD-00297,Product Electronics 296,Books,297.53,157.0,29.0,Supplier A,2022-03-14,
PROD-00298,Product Books 297,Sports,377.75,879.0,13.0,Supplier A,2022-02-15,Warehouse A
PROD-00299,Product Electronics 298,Books,265.4,439.0,20.0,Supplier A,2022-06-17,Warehouse C
PROD-00300,Product Electronics 299,Toys,486.89,138.0,,Supplier C,2022-02-05,Warehouse C
PROD-00201,Product Clothing 200,Clothing,264.71,,66.0,,2022-09-14,Warehouse C
PROD-00220,Product Clothing 219,Books,254.22,722.0,67.0,Supplier B,2022-04-04,Warehouse C
PROD-00125,Product Sports 124,Books,12.88,172.0,44.0,Supplier C,2022-06-13,Warehouse A
PROD-00053,Product Sports 52,Home & Garden,,769.0,91.0,Supplier A,2022-10-27,
PROD-00035,Product Electronics 34,Clothing,388.13,670.0,51.0,Supplier D,2022-02-20,Warehouse A
PROD-00177,Product Clothing 176,Electronics,105.84,716.0,28.0,Supplier B,,Warehouse A
PROD-00009,Product Home & Garden 8,Electronics,344.88,867.0,92.0,Supplier D,,Warehouse C
PROD-00004,Product Home & Garden 3,Sports,452.87,611.0,73.0,Supplier A,,
PROD-00241,Product Sports 240,Sports,111.55,618.0,53.0,Supplier B,2022-03-12,Warehouse B
PROD-00193,Product Clothing 192,Sports,328.59,457.0,56.0,Supplier B,2022-06-10,Warehouse A
